Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR,Total refugees and people in refugee-like situations<sup>**</sup>,Total refugees and people in refugee-like situations assisted by UNHCR
Cambodia,2009,107,107,107,107
Canada,2009,171,,171,
China,2009,300897,1,300897,1
Côte d'Ivoire,2009,3,3,3,3
Cyprus,2009,1,,1,
Czechia,2009,63,,63,
Denmark,2009,69,,69,
Ecuador,2009,4,4,4,4
Finland,2009,2,,2,
France,2009,8771,,8771,
Gabon,2009,4,4,4,4
Germany,2009,25215,,25215,
Greece,2009,3,,3,
"Hong Kong SAR, China",2009,7,7,7,7
Hungary,2009,3,3,3,3
Ireland,2009,4,,4,
Italy,2009,15,,15,
Japan,2009,709,4,709,4
Lithuania,2009,1,,1,
Malaysia,2009,4,4,4,4
Mexico,2009,1,,1,
Netherlands,2009,48,,48,
New Zealand,2009,10,,10,
Norway,2009,13,,13,
Papua New Guinea,2009,3,,3,
Paraguay,2009,6,6,6,6
Peru,2009,1,,1,
Philippines,2009,3,,3,
Poland,2009,9,,9,
Russian Federation,2009,4,4,4,4
Sierra Leone,2009,1,1,1,1
Slovakia,2009,1,,1,
Spain,2009,6,,6,
Sweden,2009,111,,111,
Switzerland,2009,1587,,1587,
Thailand,2009,38,38,38,38
United Kingdom,2009,934,,934,
United States,2009,259,,259,
Yemen,2009,28,28,28,28
Argentina,2008,1,1,1,1
Australia,2008,50,,50,
Austria,2008,51,,51,
Belgium,2008,71,,71,
Benin,2008,3,3,3,3
Brazil,2008,4,,4,
Burkina Faso,2008,5,5,5,5
Cambodia,2008,140,140,140,140
Canada,2008,171,,171,
Chile,2008,1,1,1,1
China,2008,300897,1,300897,1
Côte d'Ivoire,2008,1,1,1,1
Cyprus,2008,1,,1,
Czechia,2008,57,57,57,57
Denmark,2008,88,,88,
Ecuador,2008,4,4,4,4
Finland,2008,2,,2,
France,2008,8583,,8583,
Gabon,2008,4,4,4,4
Germany,2008,14043,,14043,
Greece,2008,5,,5,
"Hong Kong SAR, China",2008,7,7,7,7
Hungary,2008,2,2,2,2
Ireland,2008,8,,8,
Italy,2008,14,,14,
Japan,2008,867,4,867,4
Lithuania,2008,1,,1,
Malaysia,2008,4,4,4,4
Mexico,2008,1,,1,
Netherlands,2008,50,,50,
New Zealand,2008,10,,10,
Norway,2008,14,,14,
Papua New Guinea,2008,2,,2,
Paraguay,2008,6,6,6,6
Peru,2008,1,,1,
Philippines,2008,4,,4,
Poland,2008,5,,5,
Russian Federation,2008,4,4,4,4
Sierra Leone,2008,1,1,1,1
Slovakia,2008,1,1,1,1
Spain,2008,6,,6,
Sweden,2008,101,,101,
Switzerland,2008,1706,,1706,
Thailand,2008,24,24,24,24
United Kingdom,2008,902,,902,
United States,2008,231,,231,
Yemen,2008,29,29,29,29
Argentina,2007,32,,32,
Australia,2007,57,,57,
Austria,2007,52,,52,
Belgium,2007,80,,80,
Benin,2007,3,3,3,3
Brazil,2007,4,,4,
Burkina Faso,2007,5,5,5,5
Cambodia,2007,154,154,154,154
Canada,2007,169,,169,
Chile,2007,1,1,1,1
China,2007,300897,1,300897,1
Czechia,2007,58,58,58,58
Denmark,2007,114,,114,
Ecuador,2007,4,4,4,4
Finland,2007,2,,2,
France,2007,8668,,8668,
Gabon,2007,4,4,4,4
Germany,2007,13222,,13222,
Greece,2007,4,,4,
"Hong Kong SAR, China",2007,7,5,7,5
Hungary,2007,2,2,2,2
Indonesia,2007,2,2,2,2
Ireland,2007,7,,7,
Italy,2007,14,,14,
Japan,2007,975,4,975,4
Malaysia,2007,2,2,2,2
Mexico,2007,1,,1,
Netherlands,2007,53,,53,
New Zealand,2007,10,,10,
Norway,2007,11,,11,
Papua New Guinea,2007,2,,2,
Paraguay,2007,6,6,6,6
Peru,2007,1,,1,
Philippines,2007,6,1,6,1
Poland,2007,4,,4,
Russian Federation,2007,4,4,4,4
Sierra Leone,2007,1,1,1,1
Spain,2007,6,,6,
Sweden,2007,92,,92,
Switzerland,2007,1839,,1839,
Thailand,2007,32,32,32,32
United Kingdom,2007,889,,889,
United States,2007,251,,251,
Yemen,2007,29,29,29,29
Argentina,2006,32,3,32,3
Australia,2006,211,,211,
Austria,2006,52,,52,
Belgium,2006,88,,88,
Brazil,2006,4,4,4,4
Burkina Faso,2006,3,3,3,3
Cambodia,2006,68,68,68,68
Canada,2006,205,,205,
Chile,2006,1,1,1,1
China,2006,300897,8045,300897,8045
Côte d'Ivoire,2006,50,50,50,50
Czechia,2006,56,56,56,56
Denmark,2006,143,,143,
Finland,2006,72,,72,
France,2006,8750,,8750,
Gabon,2006,4,4,4,4
Germany,2006,11678,,11678,
Greece,2006,4,,4,
"Hong Kong SAR, China",2006,1829,10,1829,10
Hungary,2006,2,,2,
Ireland,2006,2,,2,
Italy,2006,9,,9,
Japan,2006,1132,4,1132,4
Malaysia,2006,1,1,1,1
Netherlands,2006,68,,68,
New Zealand,2006,12,,12,
Norway,2006,57,,57,
Papua New Guinea,2006,2,,2,
Paraguay,2006,6,6,6,6
Peru,2006,1,,1,
Philippines,2006,3,1,3,1
Poland,2006,3,,3,
Russian Federation,2006,3,3,3,3
Sierra Leone,2006,1,1,1,1
Spain,2006,6,,6,
Sweden,2006,130,,130,
Switzerland,2006,1944,,1944,
Thailand,2006,93,93,93,93
Timor-Leste,2006,2,2,2,2
United Kingdom,2006,871,,871,
United States,2006,45757,,45757,
Yemen,2006,27,27,27,27
,,,,,
fnSeqID,,,,,
*,,,,,
**,,,,,
