Country of Origin,Country or territory of asylum or residence,Year,Refugees<sup>*</sup>,Refugees assisted by UNHCR
Somalia,Thailand,2014,72,72
Somalia,Togo,2014,1,1
Somalia,Tunisia,2014,81,81
Somalia,Turkey,2014,2389,2389
Somalia,Uganda,2014,17010,17010
Somalia,Ukraine,2014,118,34
Somalia,United Arab Emirates,2014,21,21
Somalia,United Kingdom,2014,8512,
Somalia,United Rep. of Tanzania,2014,150,150
Somalia,United States,2014,2263,
Somalia,Uruguay,2014,3,
Somalia,Yemen,2014,244204,104274
Somalia,Zambia,2014,2314,2314
Somalia,Zimbabwe,2014,13,13
Somalia,Algeria,2013,4,4
Somalia,Angola,2013,215,30
Somalia,Argentina,2013,5,
Somalia,Australia,2013,67,
Somalia,Austria,2013,2278,
Somalia,Bangladesh,2013,12,12
Somalia,Belgium,2013,559,
Somalia,Botswana,2013,450,450
Somalia,Brazil,2013,45,2
Somalia,Bulgaria,2013,86,15
Somalia,Burundi,2013,17,17
Somalia,Cambodia,2013,1,1
Somalia,Cameroon,2013,1,1
Somalia,Canada,2013,3225,
Somalia,Chad,2013,12,12
Somalia,Chile,2013,2,
Somalia,China,2013,82,82
Somalia,Colombia,2013,11,
Somalia,Costa Rica,2013,15,15
Somalia,Croatia,2013,5,5
Somalia,Cuba,2013,1,1
Somalia,Cyprus,2013,11,
Somalia,Czechia,2013,29,
Somalia,Dem. Rep. of the Congo,2013,30,30
Somalia,Denmark,2013,798,
Somalia,Djibouti,2013,19169,19169
Somalia,Ecuador,2013,7,7
Somalia,Egypt,2013,6316,6316
Somalia,Eritrea,2013,3054,3054
Somalia,Estonia,2013,4,
Somalia,Ethiopia,2013,240825,240825
Somalia,Fiji,2013,1,1
Somalia,Finland,2013,2744,
Somalia,France,2013,1674,
Somalia,Gabon,2013,4,4
Somalia,Gambia,2013,5,5
Somalia,Germany,2013,3512,
Somalia,Ghana,2013,26,26
Somalia,Greece,2013,82,
Somalia,Guinea,2013,2,2
Somalia,"Hong Kong SAR, China",2013,22,22
Somalia,Hungary,2013,446,
Somalia,Iceland,2013,5,
Somalia,India,2013,729,729
Somalia,Indonesia,2013,294,294
Somalia,Iraq,2013,1,1
Somalia,Ireland,2013,559,
Somalia,Italy,2013,10846,
Somalia,Japan,2013,3,1
Somalia,Jordan,2013,486,486
Somalia,Kazakhstan,2013,1,1
Somalia,Kenya,2013,475304,475304
Somalia,Kuwait,2013,119,119
Somalia,Latvia,2013,7,
Somalia,Lebanon,2013,33,33
Somalia,Liberia,2013,1,1
Somalia,Libya,2013,167,167
Somalia,Liechtenstein,2013,26,
Somalia,Lithuania,2013,22,
Somalia,Luxembourg,2013,20,
Somalia,Malawi,2013,49,49
Somalia,Malaysia,2013,930,930
Somalia,Malta,2013,5543,
Somalia,Mauritania,2013,1,1
Somalia,Morocco,2013,1,1
Somalia,Mozambique,2013,88,
Somalia,Namibia,2013,7,7
Somalia,Nepal,2013,33,33
Somalia,Netherlands,2013,18799,
Somalia,New Zealand,2013,35,
Somalia,Niger,2013,9,9
Somalia,Nigeria,2013,2,2
Somalia,Norway,2013,9275,
Somalia,Pakistan,2013,456,456
Somalia,Panama,2013,1,1
Somalia,Papua New Guinea,2013,5,
Somalia,Peru,2013,2,
Somalia,Philippines,2013,8,1
Somalia,Poland,2013,54,
Somalia,Portugal,2013,44,
Somalia,Qatar,2013,8,8
Somalia,Rep. of Korea,2013,3,1
Somalia,Rep. of Moldova,2013,1,1
Somalia,Romania,2013,18,3
Somalia,Rwanda,2013,3,3
Somalia,Saudi Arabia,2013,20,20
Somalia,Senegal,2013,1,1
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2013,1,1
Somalia,Slovakia,2013,168,
Somalia,Slovenia,2013,23,
Somalia,South Africa,2013,20818,4163
Somalia,Spain,2013,284,
Somalia,Sudan,2013,753,114
Somalia,Swaziland,2013,22,19
Somalia,Sweden,2013,20613,
Somalia,Switzerland,2013,4101,
Somalia,Syrian Arab Rep.,2013,1007,1007
Somalia,Thailand,2013,72,72
Somalia,Tunisia,2013,139,139
Somalia,Turkey,2013,2153,2153
Somalia,Uganda,2013,13144,13144
Somalia,Ukraine,2013,116,7
Somalia,United Arab Emirates,2013,23,23
Somalia,United Kingdom,2013,11249,
Somalia,United Rep. of Tanzania,2013,2136,2136
Somalia,United States,2013,2310,
Somalia,Uruguay,2013,3,2
Somalia,Yemen,2013,230506,230506
Somalia,Zambia,2013,2216,2216
Somalia,Zimbabwe,2013,40,40
Somalia,Algeria,2012,4,
Somalia,Angola,2012,215,30
Somalia,Argentina,2012,5,
Somalia,Australia,2012,66,
Somalia,Austria,2012,1915,
Somalia,Bangladesh,2012,12,12
Somalia,Belgium,2012,288,
Somalia,Botswana,2012,445,445
Somalia,Brazil,2012,43,31
Somalia,Bulgaria,2012,93,
Somalia,Burundi,2012,20,20
Somalia,Cambodia,2012,8,
Somalia,Cameroon,2012,1,1
Somalia,Canada,2012,3459,
Somalia,Chad,2012,12,12
Somalia,Chile,2012,2,
Somalia,China,2012,48,45
Somalia,Colombia,2012,11,
Somalia,Costa Rica,2012,15,15
Somalia,Cyprus,2012,9,
Somalia,Czechia,2012,30,
Somalia,Dem. Rep. of the Congo,2012,29,29
Somalia,Denmark,2012,531,
Somalia,Djibouti,2012,18289,18289
Somalia,Ecuador,2012,7,7
Somalia,Egypt,2012,6250,6250
Somalia,Eritrea,2012,3440,3440
Somalia,Estonia,2012,4,
Somalia,Ethiopia,2012,223031,223031
Somalia,Fiji,2012,1,1
Somalia,Finland,2012,2571,
Somalia,France,2012,1489,
Somalia,Gabon,2012,4,4
Somalia,Gambia,2012,5,4
Somalia,Germany,2012,3634,
Somalia,Ghana,2012,21,21
Somalia,Greece,2012,38,
Somalia,Guinea,2012,2,2
Somalia,"Hong Kong SAR, China",2012,21,21
Somalia,Hungary,2012,431,
Somalia,Iceland,2012,5,
Somalia,India,2012,739,739
Somalia,Indonesia,2012,160,160
Somalia,Iraq,2012,2,2
Somalia,Ireland,2012,505,
Somalia,Israel,2012,1,
Somalia,Italy,2012,9284,
Somalia,Japan,2012,2,1
Somalia,Jordan,2012,318,318
Somalia,Kazakhstan,2012,1,1
Somalia,Kenya,2012,512069,512069
Somalia,Kuwait,2012,121,121
Somalia,Latvia,2012,7,
Somalia,Lebanon,2012,23,23
Somalia,Liberia,2012,1,1
Somalia,Libya,2012,165,165
Somalia,Liechtenstein,2012,23,
Somalia,Lithuania,2012,22,
Somalia,Malawi,2012,55,55
Somalia,Malaysia,2012,929,929
Somalia,Malta,2012,5041,
Somalia,Morocco,2012,7,7
Somalia,Mozambique,2012,89,
Somalia,Namibia,2012,4,4
Somalia,Nepal,2012,50,50
Somalia,Netherlands,2012,16286,
Somalia,New Zealand,2012,45,
Somalia,Niger,2012,9,9
Somalia,Nigeria,2012,21,21
Somalia,Norway,2012,8870,
Somalia,Pakistan,2012,517,517
Somalia,Panama,2012,1,1
Somalia,Papua New Guinea,2012,5,5
Somalia,Peru,2012,2,
Somalia,Philippines,2012,5,1
Somalia,Poland,2012,48,
Somalia,Portugal,2012,40,
Somalia,Qatar,2012,8,8
Somalia,Rep. of Korea,2012,3,1
Somalia,Rep. of Moldova,2012,1,1
Somalia,Romania,2012,94,5
Somalia,Russian Federation,2012,4,4
Somalia,Rwanda,2012,3,3
Somalia,Saudi Arabia,2012,20,20
Somalia,Senegal,2012,1,1
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2012,1,
Somalia,Slovakia,2012,161,
Somalia,Slovenia,2012,20,
Somalia,South Africa,2012,17864,1871
Somalia,Spain,2012,196,
Somalia,Sudan,2012,372,111
Somalia,Swaziland,2012,22,19
Somalia,Sweden,2012,19416,
Somalia,Switzerland,2012,4135,
Somalia,Syrian Arab Rep.,2012,2217,2217
Somalia,Thailand,2012,136,136
Somalia,Togo,2012,1,1
Somalia,Tunisia,2012,510,510
Somalia,Turkey,2012,1669,1669
Somalia,Uganda,2012,19000,19000
Somalia,Ukraine,2012,112,23
Somalia,United Arab Emirates,2012,19,19
Somalia,United Kingdom,2012,15134,
Somalia,United Rep. of Tanzania,2012,2105,2105
Somalia,United States,2012,2412,
Somalia,Uruguay,2012,3,2
Somalia,Yemen,2012,226909,226909
Somalia,Zambia,2012,2177,2013
Somalia,Zimbabwe,2012,22,22
Somalia,Algeria,2011,4,4
Somalia,Angola,2011,215,30
Somalia,Argentina,2011,5,
Somalia,Australia,2011,77,
Somalia,Austria,2011,1473,
Somalia,Bangladesh,2011,15,15
Somalia,Belgium,2011,247,
Somalia,Benin,2011,4,4
Somalia,Botswana,2011,516,516
Somalia,Brazil,2011,41,36
Somalia,Bulgaria,2011,132,
Somalia,Burundi,2011,22,22
Somalia,Cambodia,2011,8,8
Somalia,Canada,2011,3629,
Somalia,Chad,2011,9,9
Somalia,Chile,2011,2,2
Somalia,China,2011,22,16
Somalia,Colombia,2011,11,
Somalia,Costa Rica,2011,15,15
Somalia,Cyprus,2011,8,
Somalia,Czechia,2011,21,
Somalia,Dem. Rep. of the Congo,2011,29,29
Somalia,Denmark,2011,904,
Somalia,Djibouti,2011,19426,19426
Somalia,Ecuador,2011,7,7
Somalia,Egypt,2011,6328,6328
Somalia,Eritrea,2011,4472,4472
Somalia,Estonia,2011,1,
Somalia,Ethiopia,2011,185466,185466
Somalia,Fiji,2011,1,1
Somalia,Finland,2011,2404,
Somalia,France,2011,1303,
Somalia,Gabon,2011,4,4
Somalia,Gambia,2011,4,4
Somalia,Germany,2011,3139,
Somalia,Ghana,2011,19,19
Somalia,Greece,2011,37,
Somalia,Guinea,2011,2,2
Somalia,"Hong Kong SAR, China",2011,40,40
Somalia,Hungary,2011,406,
Somalia,Iceland,2011,5,
Somalia,India,2011,766,766
Somalia,Indonesia,2011,69,69
Somalia,Ireland,2011,542,
Somalia,Italy,2011,8497,
Somalia,Japan,2011,2,2
Somalia,Jordan,2011,242,242
Somalia,Kazakhstan,2011,1,1
Somalia,Kenya,2011,517666,517666
Somalia,Kuwait,2011,42,42
Somalia,Latvia,2011,7,
Somalia,Lebanon,2011,20,20
Somalia,Liberia,2011,1,1
Somalia,Libya,2011,313,313
Somalia,Liechtenstein,2011,5,
Somalia,Lithuania,2011,22,
Somalia,Malawi,2011,55,55
Somalia,Malaysia,2011,812,812
Somalia,Malta,2011,4009,
Somalia,Mexico,2011,2,1
Somalia,Morocco,2011,8,8
Somalia,Mozambique,2011,32,2
Somalia,Namibia,2011,4,4
Somalia,Nepal,2011,73,73
Somalia,Netherlands,2011,15715,
Somalia,New Zealand,2011,61,
Somalia,Nicaragua,2011,2,2
Somalia,Niger,2011,9,9
Somalia,Nigeria,2011,21,21
Somalia,Norway,2011,7981,
Somalia,Pakistan,2011,536,536
Somalia,Panama,2011,1,1
Somalia,Peru,2011,2,
Somalia,Philippines,2011,4,
Somalia,Poland,2011,51,
Somalia,Portugal,2011,33,
Somalia,Qatar,2011,8,8
Somalia,Rep. of Korea,2011,3,
Somalia,Rep. of Moldova,2011,1,1
Somalia,Romania,2011,85,2
Somalia,Russian Federation,2011,5,5
Somalia,Rwanda,2011,8,8
Somalia,Saudi Arabia,2011,20,20
Somalia,Senegal,2011,3,3
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2011,1,
Somalia,Slovakia,2011,80,
Somalia,Slovenia,2011,12,
Somalia,South Africa,2011,15186,
Somalia,Spain,2011,147,
Somalia,Sudan,2011,130,83
Somalia,Swaziland,2011,69,
Somalia,Sweden,2011,17602,
Somalia,Switzerland,2011,4148,
Somalia,Syrian Arab Rep.,2011,2538,2538
Somalia,Thailand,2011,142,142
Somalia,Togo,2011,1,1
Somalia,Trinidad and Tobago,2011,2,2
Somalia,Tunisia,2011,953,952
Somalia,Turkey,2011,1105,1105
Somalia,Uganda,2011,14023,14023
Somalia,Ukraine,2011,33,6
Somalia,United Arab Emirates,2011,19,19
Somalia,United Kingdom,2011,19668,
Somalia,United Rep. of Tanzania,2011,1530,1530
Somalia,United States,2011,2996,
Somalia,Uruguay,2011,3,2
Somalia,Yemen,2011,204685,204685
Somalia,Zambia,2011,1842,1442
Somalia,Zimbabwe,2011,21,21
Somalia,Algeria,2010,3,3
Somalia,Angola,2010,37,23
Somalia,Argentina,2010,5,
Somalia,Australia,2010,74,
Somalia,Austria,2010,1093,
Somalia,Bangladesh,2010,15,15
Somalia,Belgium,2010,117,
Somalia,Benin,2010,4,4
Somalia,Botswana,2010,478,478
Somalia,Brazil,2010,36,32
Somalia,Bulgaria,2010,129,
Somalia,Burundi,2010,17,17
Somalia,Cambodia,2010,8,8
Somalia,Canada,2010,4149,
Somalia,Central African Rep.,2010,2,12
Somalia,Chad,2010,9,9
Somalia,Chile,2010,2,
Somalia,China,2010,8,7
Somalia,Colombia,2010,11,
Somalia,Costa Rica,2010,9,9
Somalia,Cyprus,2010,6,
Somalia,Czechia,2010,21,
Somalia,Dem. Rep. of the Congo,2010,29,29
Somalia,Denmark,2010,1497,
Somalia,Djibouti,2010,14216,14216
Somalia,Ecuador,2010,7,7
Somalia,Egypt,2010,6172,6172
Somalia,Eritrea,2010,4556,4556
Somalia,Estonia,2010,1,
Somalia,Ethiopia,2010,81247,81247
Somalia,Fiji,2010,1,1
Somalia,Finland,2010,2226,
Somalia,France,2010,1027,
Somalia,Gabon,2010,4,4
Somalia,Gambia,2010,4,4
Somalia,Germany,2010,2620,
Somalia,Ghana,2010,17,17
Somalia,Greece,2010,27,
Somalia,Guinea,2010,2,2
Somalia,"Hong Kong SAR, China",2010,40,40
Somalia,Hungary,2010,421,
Somalia,India,2010,747,747
Somalia,Indonesia,2010,63,63
Somalia,Iraq,2010,2,2
Somalia,Ireland,2010,589,
Somalia,Italy,2010,7865,
Somalia,Japan,2010,2,2
Somalia,Jordan,2010,230,230
Somalia,Kazakhstan,2010,1,1
Somalia,Kenya,2010,351773,351773
Somalia,Kuwait,2010,17,
Somalia,Latvia,2010,7,
Somalia,Lebanon,2010,18,18
Somalia,Liberia,2010,1,1
Somalia,Libya,2010,342,221
Somalia,Lithuania,2010,22,
Somalia,Malawi,2010,56,56
Somalia,Malaysia,2010,831,831
Somalia,Malta,2010,3605,
Somalia,Mauritania,2010,1,1
Somalia,Mexico,2010,2,2
Somalia,Morocco,2010,3,3
Somalia,Mozambique,2010,27,
Somalia,Nepal,2010,72,72
Somalia,Netherlands,2010,13736,
Somalia,New Zealand,2010,67,
Somalia,Niger,2010,9,9
Somalia,Nigeria,2010,20,20
Somalia,Norway,2010,7342,
Somalia,Pakistan,2010,537,537
Somalia,Panama,2010,1,1
Somalia,Peru,2010,2,
Somalia,Philippines,2010,4,
Somalia,Poland,2010,55,
Somalia,Portugal,2010,24,
Somalia,Qatar,2010,5,5
Somalia,Rep. of Korea,2010,3,
Somalia,Rep. of Moldova,2010,1,1
Somalia,Romania,2010,89,4
Somalia,Russian Federation,2010,20,20
Somalia,Rwanda,2010,8,8
Somalia,Saudi Arabia,2010,20,20
Somalia,Senegal,2010,3,3
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2010,1,1
Somalia,Slovakia,2010,37,
Somalia,Slovenia,2010,9,
Somalia,South Africa,2010,15186,
Somalia,Spain,2010,78,
Somalia,Sudan,2010,86,35
Somalia,Swaziland,2010,69,
Somalia,Sweden,2010,15238,
Somalia,Switzerland,2010,4092,
Somalia,Syrian Arab Rep.,2010,2762,2762
Somalia,Thailand,2010,122,122
Somalia,Togo,2010,1,1
Somalia,Trinidad and Tobago,2010,2,2
Somalia,Turkey,2010,932,932
Somalia,Uganda,2010,11151,11151
Somalia,Ukraine,2010,28,11
Somalia,United Arab Emirates,2010,19,19
Somalia,United Kingdom,2010,23893,
Somalia,United Rep. of Tanzania,2010,1488,1488
Somalia,United States,2010,4513,
Somalia,Uruguay,2010,3,2
Somalia,Yemen,2010,179845,98855
Somalia,Zambia,2010,2008,50
Somalia,Zimbabwe,2010,20,20
Somalia,Algeria,2009,5,5
Somalia,Angola,2009,35,
Somalia,Argentina,2009,5,
Somalia,Australia,2009,84,
Somalia,Austria,2009,830,
Somalia,Bangladesh,2009,15,
Somalia,Belgium,2009,98,
Somalia,Benin,2009,4,4
Somalia,Botswana,2009,488,488
Somalia,Brazil,2009,34,26
Somalia,Bulgaria,2009,129,
Somalia,Burundi,2009,1,1
Somalia,Cambodia,2009,10,10
Somalia,Canada,2009,5150,
Somalia,Central African Rep.,2009,2,
Somalia,China,2009,4,3
Somalia,Colombia,2009,11,10
Somalia,Costa Rica,2009,9,9
Somalia,Cuba,2009,1,1
Somalia,Cyprus,2009,5,
Somalia,Czechia,2009,27,
Somalia,Denmark,2009,1987,
Somalia,Djibouti,2009,11198,10694
Somalia,Ecuador,2009,7,7
Somalia,Egypt,2009,6096,6096
Somalia,Eritrea,2009,4561,4561
Somalia,Estonia,2009,1,
Somalia,Ethiopia,2009,58980,58980
Somalia,Fiji,2009,1,1
Somalia,Finland,2009,1694,
Somalia,France,2009,835,
Somalia,Gabon,2009,5,5
Somalia,Germany,2009,2407,
Somalia,Ghana,2009,17,17
Somalia,Greece,2009,23,
Somalia,Guinea,2009,2,2
Somalia,"Hong Kong SAR, China",2009,12,12
Somalia,Hungary,2009,397,397
Somalia,India,2009,655,655
Somalia,Indonesia,2009,44,44
Somalia,Ireland,2009,590,
Somalia,Italy,2009,7747,
Somalia,Japan,2009,2,
Somalia,Jordan,2009,212,212
Somalia,Kazakhstan,2009,2,2
Somalia,Kenya,2009,310280,310280
Somalia,Kuwait,2009,3,2
Somalia,Latvia,2009,7,
Somalia,Lebanon,2009,20,20
Somalia,Liberia,2009,1,1
Somalia,Libya,2009,643,115
Somalia,Lithuania,2009,22,
Somalia,Malawi,2009,40,40
Somalia,Malaysia,2009,647,647
Somalia,Malta,2009,3534,
Somalia,Mauritania,2009,1,1
Somalia,Mexico,2009,2,
Somalia,Morocco,2009,3,3
Somalia,Mozambique,2009,24,
Somalia,Nepal,2009,89,89
Somalia,Netherlands,2009,11068,
Somalia,New Zealand,2009,65,
Somalia,Niger,2009,9,9
Somalia,Nigeria,2009,20,20
Somalia,Norway,2009,7064,
Somalia,Pakistan,2009,528,528
Somalia,Panama,2009,1,1
Somalia,Peru,2009,2,
Somalia,Philippines,2009,5,
Somalia,Poland,2009,65,
Somalia,Portugal,2009,24,
Somalia,Rep. of Korea,2009,2,
Somalia,Rep. of Moldova,2009,1,1
Somalia,Romania,2009,107,8
Somalia,Russian Federation,2009,7,7
Somalia,Rwanda,2009,9,9
Somalia,Saudi Arabia,2009,10,10
Somalia,Senegal,2009,3,3
Somalia,Slovakia,2009,22,
Somalia,Slovenia,2009,1,1
Somalia,South Africa,2009,9718,
Somalia,Spain,2009,65,
Somalia,Sudan,2009,90,10
Somalia,Swaziland,2009,69,60
Somalia,Sweden,2009,10636,
Somalia,Switzerland,2009,3197,
Somalia,Syrian Arab Rep.,2009,2260,2260
Somalia,Thailand,2009,122,122
Somalia,Togo,2009,1,1
Somalia,Trinidad and Tobago,2009,3,3
Somalia,Turkey,2009,922,922
Somalia,Uganda,2009,8172,8172
Somalia,Ukraine,2009,20,19
Somalia,United Arab Emirates,2009,13,13
Somalia,United Kingdom,2009,32299,
Somalia,United Rep. of Tanzania,2009,1447,1447
Somalia,United States,2009,7112,
Somalia,Uruguay,2009,3,2
Somalia,Yemen,2009,161468,161468
Somalia,Zambia,2009,1927,291
Somalia,Zimbabwe,2009,13,13
Somalia,Algeria,2008,4,4
Somalia,Angola,2008,33,18
Somalia,Argentina,2008,5,
Somalia,Australia,2008,86,
Somalia,Austria,2008,630,
Somalia,Bangladesh,2008,11,
Somalia,Belgium,2008,89,
Somalia,Benin,2008,1,1
Somalia,Botswana,2008,514,514
Somalia,Brazil,2008,29,21
Somalia,Bulgaria,2008,126,
Somalia,Burundi,2008,1,1
Somalia,Cambodia,2008,10,10
Somalia,Canada,2008,6209,
Somalia,Central African Rep.,2008,2,
Somalia,Chile,2008,1,1
Somalia,China,2008,3,3
Somalia,Colombia,2008,1,1
Somalia,Costa Rica,2008,7,7
Somalia,Croatia,2008,1,1
Somalia,Cyprus,2008,5,
Somalia,Czechia,2008,19,19
Somalia,Denmark,2008,2483,
Somalia,Djibouti,2008,8522,8390
Somalia,Ecuador,2008,6,6
Somalia,Egypt,2008,5600,5600
Somalia,Eritrea,2008,4675,4675
Somalia,Estonia,2008,1,
Somalia,Ethiopia,2008,33625,33625
Somalia,Finland,2008,1219,
Somalia,France,2008,686,
Somalia,Gabon,2008,5,5
Somalia,Gambia,2008,4,4
Somalia,Germany,2008,2190,
Somalia,Greece,2008,24,
Somalia,Guinea,2008,2,2
Somalia,"Hong Kong SAR, China",2008,17,17
Somalia,Hungary,2008,313,313
Somalia,India,2008,489,489
Somalia,Indonesia,2008,37,37
Somalia,Ireland,2008,653,
Somalia,Italy,2008,5251,
Somalia,Japan,2008,2,
Somalia,Jordan,2008,134,134
Somalia,Kazakhstan,2008,2,2
Somalia,Kenya,2008,259121,259121
Somalia,Kuwait,2008,,
Somalia,Latvia,2008,7,
Somalia,Lebanon,2008,35,35
Somalia,Liberia,2008,1,1
Somalia,Libya,2008,573,573
Somalia,Lithuania,2008,22,
Somalia,Malawi,2008,13,13
Somalia,Malaysia,2008,365,365
Somalia,Malta,2008,2085,
Somalia,Mexico,2008,2,
Somalia,Morocco,2008,3,3
Somalia,Mozambique,2008,21,
Somalia,Nepal,2008,75,75
Somalia,Netherlands,2008,8565,
Somalia,New Zealand,2008,62,
Somalia,Nicaragua,2008,3,
Somalia,Niger,2008,9,9
Somalia,Nigeria,2008,19,19
Somalia,Norway,2008,6977,
Somalia,Pakistan,2008,491,491
Somalia,Panama,2008,1,1
Somalia,Peru,2008,2,
Somalia,Philippines,2008,5,
Somalia,Poland,2008,63,
Somalia,Portugal,2008,19,
Somalia,Rep. of Korea,2008,2,
Somalia,Rep. of Moldova,2008,1,1
Somalia,Romania,2008,109,7
Somalia,Russian Federation,2008,16,16
Somalia,Rwanda,2008,5,5
Somalia,Saudi Arabia,2008,15,15
Somalia,Senegal,2008,3,3
Somalia,Serbia (and Kosovo: S/RES/1244 (1999)),2008,1,1
Somalia,Slovakia,2008,12,12
Somalia,Slovenia,2008,1,1
Somalia,South Africa,2008,8543,
Somalia,Spain,2008,116,
Somalia,Sudan,2008,204,23
Somalia,Swaziland,2008,69,60
Somalia,Sweden,2008,6753,
Somalia,Switzerland,2008,3070,
Somalia,Syrian Arab Rep.,2008,3358,3358
Somalia,Thailand,2008,123,123
Somalia,Togo,2008,3,3
Somalia,Trinidad and Tobago,2008,3,3
Somalia,Turkey,2008,862,862
Somalia,Uganda,2008,6085,6085
Somalia,Ukraine,2008,20,2
Somalia,United Arab Emirates,2008,14,
Somalia,United Kingdom,2008,31665,
Somalia,United Rep. of Tanzania,2008,1525,1525
Somalia,United States,2008,10154,
Somalia,Uruguay,2008,3,1
Somalia,Yemen,2008,132275,132275
Somalia,Zambia,2008,1868,256
Somalia,Zimbabwe,2008,10,10
Somalia,Algeria,2007,4,3
Somalia,Angola,2007,27,18
Somalia,Australia,2007,142,
Somalia,Austria,2007,456,
Somalia,Bangladesh,2007,1,
Somalia,Belgium,2007,94,
Somalia,Benin,2007,1,1
Somalia,Botswana,2007,137,133
Somalia,Brazil,2007,30,21
Somalia,Bulgaria,2007,120,
Somalia,Burundi,2007,1,1
Somalia,Cambodia,2007,3,3
Somalia,Canada,2007,7206,
Somalia,Central African Rep.,2007,2,
Somalia,Chile,2007,1,1
Somalia,China,2007,9,8
Somalia,Colombia,2007,1,
Somalia,Costa Rica,2007,6,6
Somalia,Cyprus,2007,5,
Somalia,Czechia,2007,18,18
Somalia,Denmark,2007,3359,
Somalia,Djibouti,2007,5980,5831
Somalia,Ecuador,2007,6,6
Somalia,Egypt,2007,5139,5139
Somalia,Eritrea,2007,4228,4228
Somalia,Estonia,2007,1,
Somalia,Ethiopia,2007,25843,25843
Somalia,Finland,2007,1178,
Somalia,France,2007,650,
Somalia,Gabon,2007,3,3
Somalia,Gambia,2007,8,8
Somalia,Germany,2007,2227,
Somalia,Greece,2007,19,
Somalia,Guinea,2007,2,2
Somalia,"Hong Kong SAR, China",2007,20,20
Somalia,Hungary,2007,210,210
Somalia,India,2007,221,221
Somalia,Indonesia,2007,26,26
Somalia,Iraq,2007,2,2
Somalia,Ireland,2007,672,
Somalia,Italy,2007,1701,
Somalia,Japan,2007,1,
Somalia,Jordan,2007,49,49
Somalia,Kazakhstan,2007,1,
Somalia,Kenya,2007,192420,192420
Somalia,Kuwait,2007,,
Somalia,Latvia,2007,7,
Somalia,Lebanon,2007,23,23
Somalia,Liberia,2007,1,
Somalia,Libya,2007,513,513
Somalia,Lithuania,2007,22,
Somalia,Malawi,2007,20,20
Somalia,Malaysia,2007,93,93
Somalia,Malta,2007,979,
Somalia,Mexico,2007,2,
Somalia,Mozambique,2007,15,
Somalia,Nepal,2007,56,56
Somalia,Netherlands,2007,7919,
Somalia,New Zealand,2007,60,
Somalia,Nicaragua,2007,3,1
Somalia,Niger,2007,11,11
Somalia,Nigeria,2007,25,25
Somalia,Norway,2007,7269,
Somalia,Pakistan,2007,354,354
Somalia,Panama,2007,1,1
Somalia,Peru,2007,2,1
Somalia,Philippines,2007,5,
Somalia,Poland,2007,64,
Somalia,Rep. of Korea,2007,2,2
Somalia,Rep. of Moldova,2007,1,1
Somalia,Romania,2007,120,6
Somalia,Rwanda,2007,6,6
Somalia,Saudi Arabia,2007,13,13
Somalia,Senegal,2007,3,3
Somalia,Slovakia,2007,11,11
Somalia,Slovenia,2007,1,1
Somalia,South Africa,2007,8554,1041
Somalia,Spain,2007,127,
Somalia,Sudan,2007,559,248
Somalia,Swaziland,2007,69,60
Somalia,Sweden,2007,5332,
Somalia,Switzerland,2007,3206,
Somalia,Syrian Arab Rep.,2007,2080,2080
Somalia,Thailand,2007,17,17
Somalia,Togo,2007,3,3
Somalia,Turkey,2007,668,668
Somalia,Uganda,2007,4573,4573
Somalia,Ukraine,2007,21,7
Somalia,United Arab Emirates,2007,14,14
Somalia,United Kingdom,2007,33659,
Somalia,United Rep. of Tanzania,2007,2059,2059
Somalia,United States,2007,12224,
Somalia,Uruguay,2007,3,1
Somalia,Yemen,2007,110616,110616
Somalia,Zambia,2007,1725,23
Somalia,Zimbabwe,2007,16,6
Somalia,Algeria,2006,4,3
Somalia,Angola,2006,10,
Somalia,Australia,2006,797,
Somalia,Austria,2006,266,
Somalia,Bangladesh,2006,13,
Somalia,Belgium,2006,111,
Somalia,Benin,2006,1,1
Somalia,Botswana,2006,547,
Somalia,Brazil,2006,28,19
Somalia,Bulgaria,2006,119,
Somalia,Burundi,2006,1,1
Somalia,Cambodia,2006,9,9
Somalia,Canada,2006,4507,
Somalia,Chile,2006,1,1
Somalia,China,2006,9,9
Somalia,Cyprus,2006,2,
Somalia,Czechia,2006,8,8
Somalia,Denmark,2006,5100,
Somalia,Djibouti,2006,8642,6414
Somalia,Ecuador,2006,6,6
Somalia,Egypt,2006,4317,4317
Somalia,Eritrea,2006,3792,3792
Somalia,Ethiopia,2006,16576,16576
Somalia,Finland,2006,1042,
Somalia,France,2006,612,
Somalia,Gabon,2006,1,1
Somalia,Gambia,2006,8,8
Somalia,Germany,2006,2165,
Somalia,Ghana,2006,1,1
Somalia,Greece,2006,17,
Somalia,"Hong Kong SAR, China",2006,30,30
Somalia,Hungary,2006,181,
Somalia,India,2006,130,130
Somalia,Indonesia,2006,22,22
Somalia,Ireland,2006,408,
Somalia,Italy,2006,948,
Somalia,Jordan,2006,15,15
Somalia,Kazakhstan,2006,1,
Somalia,Kenya,2006,173702,173702
Somalia,Latvia,2006,7,
Somalia,Lebanon,2006,7,7
Somalia,Liberia,2006,1,
