Country or territory of asylum or residence,Year,Refugees,Refugees assisted by UNHCR
South Sudan,2016,4,4
Spain,2016,565,
Sri Lanka,2016,1,1
Sudan,2016,184,184
Swaziland,2016,55,22
Sweden,2016,22548,
Switzerland,2016,4440,
Syrian Arab Rep.,2016,437,437
Thailand,2016,156,156
Togo,2016,1,1
Tunisia,2016,13,13
Turkey,2016,2239,2239
Uganda,2016,30689,30689
Ukraine,2016,133,41
United Arab Emirates,2016,17,17
United Kingdom,2016,5954,
United Rep. of Tanzania,2016,150,150
United States,2016,2319,
Uruguay,2016,3,
Yemen,2016,255121,105389
Zambia,2016,2595,2595
Zimbabwe,2016,24,24
Algeria,2015,1,1
Angola,2015,288,16
Argentina,2015,5,
Australia,2015,71,
Austria,2015,3406,
Bangladesh,2015,6,6
Belarus,2015,1,1
Belgium,2015,648,
Benin,2015,1,1
Botswana,2015,330,330
Brazil,2015,45,1
Bulgaria,2015,46,46
Burundi,2015,18,18
Cambodia,2015,1,1
Canada,2015,2531,
Chad,2015,12,12
Chile,2015,2,
China,2015,117,117
Colombia,2015,11,
Costa Rica,2015,7,7
Croatia,2015,15,15
Cuba,2015,1,1
Cyprus,2015,39,19
Czechia,2015,22,
Dem. Rep. of the Congo,2015,34,34
Denmark,2015,1260,
Djibouti,2015,12323,12323
Ecuador,2015,7,
Egypt,2015,4491,4491
Eritrea,2015,2485,2485
Estonia,2015,4,
Ethiopia,2015,256669,256669
Finland,2015,3062,
France,2015,2007,
Gabon,2015,3,3
Gambia,2015,1,1
Germany,2015,4860,
Ghana,2015,59,59
Greece,2015,210,
Guinea,2015,5,5
"Hong Kong SAR, China",2015,43,43
Hungary,2015,611,
Iceland,2015,7,
India,2015,465,465
Indonesia,2015,448,448
Ireland,2015,501,
Italy,2015,13068,
Japan,2015,4,1
Jordan,2015,601,601
Kenya,2015,417920,417920
Kuwait,2015,286,286
Latvia,2015,7,
Lebanon,2015,23,23
Liberia,2015,2,2
Libya,2015,164,164
Liechtenstein,2015,45,
Lithuania,2015,22,
Luxembourg,2015,38,
Madagascar,2015,1,1
Malawi,2015,57,57
Malaysia,2015,835,835
Malta,2015,1865,620
Mauritania,2015,5,5
Mexico,2015,1,1
Mozambique,2015,208,5
Namibia,2015,10,10
Nauru,2015,60,
Nepal,2015,11,11
Netherlands,2015,17444,
New Zealand,2015,21,
Niger,2015,9,9
Nigeria,2015,1,1
Norway,2015,8600,
Pakistan,2015,375,375
Panama,2015,1,1
Papua New Guinea,2015,6,
Peru,2015,2,
Philippines,2015,12,1
Poland,2015,48,
Portugal,2015,50,
Qatar,2015,8,8
Rep. of Korea,2015,3,
Romania,2015,20,6
Rwanda,2015,3,3
Saudi Arabia,2015,16,16
Senegal,2015,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2015,1,1
Slovakia,2015,188,
Slovenia,2015,48,
South Africa,2015,41458,4146
South Sudan,2015,2,2
Spain,2015,474,
Sri Lanka,2015,1,1
Sudan,2015,147,147
Swaziland,2015,52,22
Sweden,2015,21501,
Switzerland,2015,4334,
Syrian Arab Rep.,2015,490,490
Thailand,2015,81,81
Togo,2015,1,1
Tunisia,2015,13,13
Turkey,2015,2364,2364
Uganda,2015,27720,27720
Ukraine,2015,115,48
United Arab Emirates,2015,21,21
United Kingdom,2015,6977,
United Rep. of Tanzania,2015,150,150
United States,2015,2313,
Uruguay,2015,3,
Yemen,2015,253215,103483
Zambia,2015,2403,2403
Zimbabwe,2015,22,22
Algeria,2014,1,1
Angola,2014,272,
Argentina,2014,5,
Australia,2014,73,
Austria,2014,2641,
Bangladesh,2014,6,6
Belarus,2014,1,1
Belgium,2014,625,
Benin,2014,1,1
Bosnia and Herzegovina,2014,1,1
Botswana,2014,374,374
Brazil,2014,45,
Bulgaria,2014,56,22
Burundi,2014,19,19
Cambodia,2014,1,1
Canada,2014,2821,
Chad,2014,12,12
Chile,2014,2,
China,2014,120,120
Colombia,2014,11,
Costa Rica,2014,15,15
Croatia,2014,12,12
Cyprus,2014,33,1
Czechia,2014,22,
Dem. Rep. of the Congo,2014,31,31
Denmark,2014,1134,
Djibouti,2014,19720,19720
Ecuador,2014,7,7
Egypt,2014,5733,5733
Eritrea,2014,2758,2758
Estonia,2014,4,
Ethiopia,2014,245097,245097
Fiji,2014,1,1
Finland,2014,2817,
France,2014,1896,
Gabon,2014,3,3
Gambia,2014,4,4
Germany,2014,4205,
Ghana,2014,38,38
Greece,2014,163,
Guinea,2014,5,5
"Hong Kong SAR, China",2014,42,42
Hungary,2014,496,
Iceland,2014,5,
India,2014,654,654
Indonesia,2014,322,322
Iraq,2014,1,1
Ireland,2014,503,
Italy,2014,12213,
Japan,2014,3,1
Jordan,2014,598,598
Kazakhstan,2014,1,1
Kenya,2014,424691,424691
Kuwait,2014,94,94
Latvia,2014,7,
Lebanon,2014,31,31
Liberia,2014,1,1
Libya,2014,164,
Liechtenstein,2014,28,
Lithuania,2014,22,
Luxembourg,2014,33,
Malawi,2014,45,45
Malaysia,2014,850,850
Malta,2014,2270,
Mauritania,2014,4,4
Mozambique,2014,89,
Namibia,2014,9,9
Nauru,2014,43,
Nepal,2014,20,20
Netherlands,2014,18687,
New Zealand,2014,30,
Niger,2014,9,9
Nigeria,2014,4,4
Norway,2014,8901,
Pakistan,2014,412,412
Panama,2014,1,1
Papua New Guinea,2014,6,
Peru,2014,2,
Philippines,2014,6,
Poland,2014,59,
Portugal,2014,46,
Qatar,2014,8,8
Rep. of Korea,2014,3,3
Romania,2014,21,5
Rwanda,2014,3,3
Saudi Arabia,2014,21,21
Senegal,2014,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2014,1,1
Slovakia,2014,185,
Slovenia,2014,41,
South Africa,2014,40133,4013
Spain,2014,374,
Sri Lanka,2014,1,1
Sudan,2014,181,181
Swaziland,2014,25,19
Sweden,2014,21189,
Switzerland,2014,4279,
Syrian Arab Rep.,2014,630,630
Thailand,2014,72,72
Togo,2014,1,1
Tunisia,2014,81,81
Turkey,2014,2389,2389
Uganda,2014,17010,17010
Ukraine,2014,118,34
United Arab Emirates,2014,21,21
United Kingdom,2014,8512,
United Rep. of Tanzania,2014,150,150
United States,2014,2263,
Uruguay,2014,3,
Yemen,2014,244204,104274
Zambia,2014,2314,2314
Zimbabwe,2014,13,13
Algeria,2013,4,4
Angola,2013,215,30
Argentina,2013,5,
Australia,2013,67,
Austria,2013,2278,
Bangladesh,2013,12,12
Belgium,2013,559,
Botswana,2013,450,450
Brazil,2013,45,2
Bulgaria,2013,86,15
Burundi,2013,17,17
Cambodia,2013,1,1
Cameroon,2013,1,1
Canada,2013,3225,
Chad,2013,12,12
Chile,2013,2,
China,2013,82,82
Colombia,2013,11,
Costa Rica,2013,15,15
Croatia,2013,5,5
Cuba,2013,1,1
Cyprus,2013,11,
Czechia,2013,29,
Dem. Rep. of the Congo,2013,30,30
Denmark,2013,798,
Djibouti,2013,19169,19169
Ecuador,2013,7,7
Egypt,2013,6316,6316
Eritrea,2013,3054,3054
Estonia,2013,4,
Ethiopia,2013,240825,240825
Fiji,2013,1,1
Finland,2013,2744,
France,2013,1674,
Gabon,2013,4,4
Gambia,2013,5,5
Germany,2013,3512,
Ghana,2013,26,26
Greece,2013,82,
Guinea,2013,2,2
"Hong Kong SAR, China",2013,22,22
Hungary,2013,446,
Iceland,2013,5,
India,2013,729,729
Indonesia,2013,294,294
Iraq,2013,1,1
Ireland,2013,559,
Italy,2013,10846,
Japan,2013,3,1
Jordan,2013,486,486
Kazakhstan,2013,1,1
Kenya,2013,475304,475304
Kuwait,2013,119,119
Latvia,2013,7,
Lebanon,2013,33,33
Liberia,2013,1,1
Libya,2013,167,167
Liechtenstein,2013,26,
Lithuania,2013,22,
Luxembourg,2013,20,
Malawi,2013,49,49
Malaysia,2013,930,930
Malta,2013,5543,
Mauritania,2013,1,1
Morocco,2013,1,1
Mozambique,2013,88,
Namibia,2013,7,7
Nepal,2013,33,33
Netherlands,2013,18799,
New Zealand,2013,35,
Niger,2013,9,9
Nigeria,2013,2,2
Norway,2013,9275,
Pakistan,2013,456,456
Panama,2013,1,1
Papua New Guinea,2013,5,
Peru,2013,2,
Philippines,2013,8,1
Poland,2013,54,
Portugal,2013,44,
Qatar,2013,8,8
Rep. of Korea,2013,3,1
Rep. of Moldova,2013,1,1
Romania,2013,18,3
Rwanda,2013,3,3
Saudi Arabia,2013,20,20
Senegal,2013,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2013,1,1
Slovakia,2013,168,
Slovenia,2013,23,
South Africa,2013,20818,4163
Spain,2013,284,
Sudan,2013,753,114
Swaziland,2013,22,19
Sweden,2013,20613,
Switzerland,2013,4101,
Syrian Arab Rep.,2013,1007,1007
Thailand,2013,72,72
Tunisia,2013,139,139
Turkey,2013,2153,2153
Uganda,2013,13144,13144
Ukraine,2013,116,7
United Arab Emirates,2013,23,23
United Kingdom,2013,11249,
United Rep. of Tanzania,2013,2136,2136
United States,2013,2310,
Uruguay,2013,3,2
Yemen,2013,230506,230506
Zambia,2013,2216,2216
Zimbabwe,2013,40,40
Algeria,2012,4,
Angola,2012,215,30
Argentina,2012,5,
Australia,2012,66,
Austria,2012,1915,
Bangladesh,2012,12,12
Belgium,2012,288,
Botswana,2012,445,445
Brazil,2012,43,31
Bulgaria,2012,93,
Burundi,2012,20,20
Cambodia,2012,8,
Cameroon,2012,1,1
Canada,2012,3459,
Chad,2012,12,12
Chile,2012,2,
China,2012,48,45
Colombia,2012,11,
Costa Rica,2012,15,15
Cyprus,2012,9,
Czechia,2012,30,
Dem. Rep. of the Congo,2012,29,29
Denmark,2012,531,
Djibouti,2012,18289,18289
Ecuador,2012,7,7
Egypt,2012,6250,6250
Eritrea,2012,3440,3440
Estonia,2012,4,
Ethiopia,2012,223031,223031
Fiji,2012,1,1
Finland,2012,2571,
France,2012,1489,
Gabon,2012,4,4
Gambia,2012,5,4
Germany,2012,3634,
Ghana,2012,21,21
Greece,2012,38,
Guinea,2012,2,2
"Hong Kong SAR, China",2012,21,21
Hungary,2012,431,
Iceland,2012,5,
India,2012,739,739
Indonesia,2012,160,160
Iraq,2012,2,2
Ireland,2012,505,
Israel,2012,1,
Italy,2012,9284,
Japan,2012,2,1
Jordan,2012,318,318
Kazakhstan,2012,1,1
Kenya,2012,512069,512069
Kuwait,2012,121,121
Latvia,2012,7,
Lebanon,2012,23,23
Liberia,2012,1,1
Libya,2012,165,165
Liechtenstein,2012,23,
Lithuania,2012,22,
Malawi,2012,55,55
Malaysia,2012,929,929
Malta,2012,5041,
Morocco,2012,7,7
Mozambique,2012,89,
Namibia,2012,4,4
Nepal,2012,50,50
Netherlands,2012,16286,
New Zealand,2012,45,
Niger,2012,9,9
Nigeria,2012,21,21
Norway,2012,8870,
Pakistan,2012,517,517
Panama,2012,1,1
Papua New Guinea,2012,5,5
Peru,2012,2,
Philippines,2012,5,1
Poland,2012,48,
Portugal,2012,40,
Qatar,2012,8,8
Rep. of Korea,2012,3,1
Rep. of Moldova,2012,1,1
Romania,2012,94,5
Russian Federation,2012,4,4
Rwanda,2012,3,3
Saudi Arabia,2012,20,20
Senegal,2012,1,1
Serbia (and Kosovo: S/RES/1244 (1999)),2012,1,
Slovakia,2012,161,
Slovenia,2012,20,
South Africa,2012,17864,1871
Spain,2012,196,
Sudan,2012,372,111
Swaziland,2012,22,19
Sweden,2012,19416,
Switzerland,2012,4135,
Syrian Arab Rep.,2012,2217,2217
Thailand,2012,136,136
Togo,2012,1,1
Tunisia,2012,510,510
Turkey,2012,1669,1669
Uganda,2012,19000,19000
Ukraine,2012,112,23
United Arab Emirates,2012,19,19
United Kingdom,2012,15134,
United Rep. of Tanzania,2012,2105,2105
United States,2012,2412,
Uruguay,2012,3,2
Yemen,2012,226909,226909
Zambia,2012,2177,2013
Zimbabwe,2012,22,22
Algeria,2011,4,4
Angola,2011,215,30
Argentina,2011,5,
Australia,2011,77,
Austria,2011,1473,
Bangladesh,2011,15,15
Belgium,2011,247,
Benin,2011,4,4
Botswana,2011,516,516
Brazil,2011,41,36
Bulgaria,2011,132,
Burundi,2011,22,22
Cambodia,2011,8,8
Canada,2011,3629,
Chad,2011,9,9
Chile,2011,2,2
China,2011,22,16
Colombia,2011,11,
Costa Rica,2011,15,15
Cyprus,2011,8,
Czechia,2011,21,
Dem. Rep. of the Congo,2011,29,29
Denmark,2011,904,
Djibouti,2011,19426,19426
Ecuador,2011,7,7
Egypt,2011,6328,6328
Eritrea,2011,4472,4472
Estonia,2011,1,
Ethiopia,2011,185466,185466
Fiji,2011,1,1
Finland,2011,2404,
France,2011,1303,
Gabon,2011,4,4
Gambia,2011,4,4
Germany,2011,3139,
Ghana,2011,19,19
Greece,2011,37,
Guinea,2011,2,2
"Hong Kong SAR, China",2011,40,40
Hungary,2011,406,
Iceland,2011,5,
India,2011,766,766
Indonesia,2011,69,69
Ireland,2011,542,
Italy,2011,8497,
Japan,2011,2,2
Jordan,2011,242,242
Kazakhstan,2011,1,1
Kenya,2011,517666,517666
Kuwait,2011,42,42
Latvia,2011,7,
Lebanon,2011,20,20
Liberia,2011,1,1
Libya,2011,313,313
Liechtenstein,2011,5,
Lithuania,2011,22,
Malawi,2011,55,55
Malaysia,2011,812,812
Malta,2011,4009,
Mexico,2011,2,1
Morocco,2011,8,8
Mozambique,2011,32,2
Namibia,2011,4,4
Nepal,2011,73,73
Netherlands,2011,15715,
New Zealand,2011,61,
Nicaragua,2011,2,2
Niger,2011,9,9
Nigeria,2011,21,21
Norway,2011,7981,
Pakistan,2011,536,536
Panama,2011,1,1
Peru,2011,2,
Philippines,2011,4,
Poland,2011,51,
Portugal,2011,33,
Qatar,2011,8,8
Rep. of Korea,2011,3,
Rep. of Moldova,2011,1,1
Romania,2011,85,2
Russian Federation,2011,5,5
Rwanda,2011,8,8
Saudi Arabia,2011,20,20
Senegal,2011,3,3
Serbia (and Kosovo: S/RES/1244 (1999)),2011,1,
Slovakia,2011,80,
Slovenia,2011,12,
South Africa,2011,15186,
Spain,2011,147,
Sudan,2011,130,83
Swaziland,2011,69,
Sweden,2011,17602,
Switzerland,2011,4148,
Syrian Arab Rep.,2011,2538,2538
Thailand,2011,142,142
Togo,2011,1,1
Trinidad and Tobago,2011,2,2
Tunisia,2011,953,952
Turkey,2011,1105,1105
Uganda,2011,14023,14023
Ukraine,2011,33,6
United Arab Emirates,2011,19,19
United Kingdom,2011,19668,
United Rep. of Tanzania,2011,1530,1530
United States,2011,2996,
Uruguay,2011,3,2
Yemen,2011,204685,204685
Zambia,2011,1842,1442
Zimbabwe,2011,21,21
Algeria,2010,3,3
Angola,2010,37,23
Argentina,2010,5,
Australia,2010,74,
Austria,2010,1093,
Bangladesh,2010,15,15
Belgium,2010,117,
Benin,2010,4,4
Botswana,2010,478,478
Brazil,2010,36,32
Bulgaria,2010,129,
Burundi,2010,17,17
Cambodia,2010,8,8
Canada,2010,4149,
Central African Rep.,2010,2,12
Chad,2010,9,9
Chile,2010,2,
China,2010,8,7
Colombia,2010,11,
Costa Rica,2010,9,9
Cyprus,2010,6,
Czechia,2010,21,
Dem. Rep. of the Congo,2010,29,29
Denmark,2010,1497,
Djibouti,2010,14216,14216
Ecuador,2010,7,7
Egypt,2010,6172,6172
Eritrea,2010,4556,4556
Estonia,2010,1,
Ethiopia,2010,81247,81247
Fiji,2010,1,1
Finland,2010,2226,
France,2010,1027,
Gabon,2010,4,4
Gambia,2010,4,4
Germany,2010,2620,
Ghana,2010,17,17
Greece,2010,27,
Guinea,2010,2,2
"Hong Kong SAR, China",2010,40,40
Hungary,2010,421,
India,2010,747,747
Indonesia,2010,63,63
Iraq,2010,2,2
Ireland,2010,589,
Italy,2010,7865,
Japan,2010,2,2
Jordan,2010,230,230
Kazakhstan,2010,1,1
Kenya,2010,351773,351773
Kuwait,2010,17,
Latvia,2010,7,
Lebanon,2010,18,18
Liberia,2010,1,1
Libya,2010,342,221
Lithuania,2010,22,
Malawi,2010,56,56
Malaysia,2010,831,831
Malta,2010,3605,
Mauritania,2010,1,1
Mexico,2010,2,2
Morocco,2010,3,3
Mozambique,2010,27,
Nepal,2010,72,72
Netherlands,2010,13736,
New Zealand,2010,67,
Niger,2010,9,9
Nigeria,2010,20,20
Norway,2010,7342,
Pakistan,2010,537,537
Panama,2010,1,1
Peru,2010,2,
Philippines,2010,4,
Poland,2010,55,
Portugal,2010,24,
Qatar,2010,5,5
Rep. of Korea,2010,3,
Rep. of Moldova,2010,1,1
Romania,2010,89,4
Russian Federation,2010,20,20
Rwanda,2010,8,8
Saudi Arabia,2010,20,20
Senegal,2010,3,3
Serbia (and Kosovo: S/RES/1244 (1999)),2010,1,1
Slovakia,2010,37,
Slovenia,2010,9,
South Africa,2010,15186,
Spain,2010,78,
Sudan,2010,86,35
Swaziland,2010,69,
Sweden,2010,15238,
Switzerland,2010,4092,
Syrian Arab Rep.,2010,2762,2762
Thailand,2010,122,122
Togo,2010,1,1
Trinidad and Tobago,2010,2,2
Turkey,2010,932,932
Uganda,2010,11151,11151
Ukraine,2010,28,11
United Arab Emirates,2010,19,19
United Kingdom,2010,23893,
United Rep. of Tanzania,2010,1488,1488
United States,2010,4513,
Uruguay,2010,3,2
Yemen,2010,179845,98855
Zambia,2010,2008,50
Zimbabwe,2010,20,20
Algeria,2009,5,5
Angola,2009,35,
Argentina,2009,5,
Australia,2009,84,
Austria,2009,830,
Bangladesh,2009,15,
Belgium,2009,98,
Benin,2009,4,4
Botswana,2009,488,488
Brazil,2009,34,26
Bulgaria,2009,129,
Burundi,2009,1,1
Cambodia,2009,10,10
Canada,2009,5150,
Central African Rep.,2009,2,
China,2009,4,3
Colombia,2009,11,10
Costa Rica,2009,9,9
Cuba,2009,1,1
Cyprus,2009,5,
Czechia,2009,27,
Denmark,2009,1987,
Djibouti,2009,11198,10694
Ecuador,2009,7,7
Egypt,2009,6096,6096
Eritrea,2009,4561,4561
Estonia,2009,1,
Ethiopia,2009,58980,58980
Fiji,2009,1,1
Finland,2009,1694,
France,2009,835,
Gabon,2009,5,5
Germany,2009,2407,
Ghana,2009,17,17
Greece,2009,23,
Guinea,2009,2,2
"Hong Kong SAR, China",2009,12,12
Hungary,2009,397,397
India,2009,655,655
Indonesia,2009,44,44
Ireland,2009,590,
Italy,2009,7747,
Japan,2009,2,
Jordan,2009,212,212
Kazakhstan,2009,2,2
Kenya,2009,310280,310280
Kuwait,2009,3,2
Latvia,2009,7,
Lebanon,2009,20,20
Liberia,2009,1,1
Libya,2009,643,115
Lithuania,2009,22,
Malawi,2009,40,40
Malaysia,2009,647,647
Malta,2009,3534,
Mauritania,2009,1,1
Mexico,2009,2,
Morocco,2009,3,3
Mozambique,2009,24,
Nepal,2009,89,89
Netherlands,2009,11068,
New Zealand,2009,65,
Niger,2009,9,9
Nigeria,2009,20,20
Norway,2009,7064,
Pakistan,2009,528,528
Panama,2009,1,1
Peru,2009,2,
Philippines,2009,5,
Poland,2009,65,
Portugal,2009,24,
Rep. of Korea,2009,2,
Rep. of Moldova,2009,1,1
Romania,2009,107,8
Russian Federation,2009,7,7
Rwanda,2009,9,9
Saudi Arabia,2009,10,10
Senegal,2009,3,3
Slovakia,2009,22,
Slovenia,2009,1,1
South Africa,2009,9718,
Spain,2009,65,
Sudan,2009,90,10
Swaziland,2009,69,60
Sweden,2009,10636,
Switzerland,2009,3197,
Syrian Arab Rep.,2009,2260,2260
Thailand,2009,122,122
Togo,2009,1,1
Trinidad and Tobago,2009,3,3
Turkey,2009,922,922
Uganda,2009,8172,8172
Ukraine,2009,20,19
United Arab Emirates,2009,13,13
United Kingdom,2009,32299,
United Rep. of Tanzania,2009,1447,1447
United States,2009,7112,
Uruguay,2009,3,2
Yemen,2009,161468,161468
Zambia,2009,1927,291
Zimbabwe,2009,13,13
Algeria,2008,4,4
Angola,2008,33,18
Argentina,2008,5,
Australia,2008,86,
Austria,2008,630,
Bangladesh,2008,11,
Belgium,2008,89,
Benin,2008,1,1
Botswana,2008,514,514
Brazil,2008,29,21
Bulgaria,2008,126,
Burundi,2008,1,1
Cambodia,2008,10,10
Canada,2008,6209,
Central African Rep.,2008,2,
Chile,2008,1,1
China,2008,3,3
Colombia,2008,1,1
Costa Rica,2008,7,7
Croatia,2008,1,1
Cyprus,2008,5,
Czechia,2008,19,19
Denmark,2008,2483,
Djibouti,2008,8522,8390
Ecuador,2008,6,6
Egypt,2008,5600,5600
Eritrea,2008,4675,4675
Estonia,2008,1,
Ethiopia,2008,33625,33625
Finland,2008,1219,
France,2008,686,
Gabon,2008,5,5
Gambia,2008,4,4
Germany,2008,2190,
Greece,2008,24,
Guinea,2008,2,2
"Hong Kong SAR, China",2008,17,17
Hungary,2008,313,313
India,2008,489,489
Indonesia,2008,37,37
Ireland,2008,653,
Italy,2008,5251,
Japan,2008,2,
Jordan,2008,134,134
Kazakhstan,2008,2,2
Kenya,2008,259121,259121
Kuwait,2008,,
Latvia,2008,7,
Lebanon,2008,35,35
Liberia,2008,1,1
Libya,2008,573,573
Lithuania,2008,22,
Malawi,2008,13,13
Malaysia,2008,365,365
Malta,2008,2085,
Mexico,2008,2,
Morocco,2008,3,3
Mozambique,2008,21,
Nepal,2008,75,75
Netherlands,2008,8565,
New Zealand,2008,62,
Nicaragua,2008,3,
Niger,2008,9,9
Nigeria,2008,19,19
Norway,2008,6977,
Pakistan,2008,491,491
Panama,2008,1,1
Peru,2008,2,
Philippines,2008,5,
Poland,2008,63,
Portugal,2008,19,
Rep. of Korea,2008,2,
Rep. of Moldova,2008,1,1
Romania,2008,109,7
Russian Federation,2008,16,16
Rwanda,2008,5,5
Saudi Arabia,2008,15,15
Senegal,2008,3,3
Serbia (and Kosovo: S/RES/1244 (1999)),2008,1,1
Slovakia,2008,12,12
Slovenia,2008,1,1
South Africa,2008,8543,
Spain,2008,116,
Sudan,2008,204,23
Swaziland,2008,69,60
Sweden,2008,6753,
Switzerland,2008,3070,
Syrian Arab Rep.,2008,3358,3358
Thailand,2008,123,123
Togo,2008,3,3
Trinidad and Tobago,2008,3,3
Turkey,2008,862,862
Uganda,2008,6085,6085
Ukraine,2008,20,2
United Arab Emirates,2008,14,
United Kingdom,2008,31665,
United Rep. of Tanzania,2008,1525,1525
United States,2008,10154,
Uruguay,2008,3,1
Yemen,2008,132275,132275
Zambia,2008,1868,256
Zimbabwe,2008,10,10
Algeria,2007,4,3
Angola,2007,27,18
Australia,2007,142,
Austria,2007,456,
Bangladesh,2007,1,
Belgium,2007,94,
Benin,2007,1,1
Botswana,2007,137,133
Brazil,2007,30,21
Bulgaria,2007,120,
Burundi,2007,1,1
Cambodia,2007,3,3
Canada,2007,7206,
Central African Rep.,2007,2,
Chile,2007,1,1
China,2007,9,8
Colombia,2007,1,
Costa Rica,2007,6,6
Cyprus,2007,5,
Czechia,2007,18,18
Denmark,2007,3359,
Djibouti,2007,5980,5831
Ecuador,2007,6,6
Egypt,2007,5139,5139
Eritrea,2007,4228,4228
Estonia,2007,1,
Ethiopia,2007,25843,25843
Finland,2007,1178,
France,2007,650,
Gabon,2007,3,3
Gambia,2007,8,8
Germany,2007,2227,
Greece,2007,19,
Guinea,2007,2,2
"Hong Kong SAR, China",2007,20,20
Hungary,2007,210,210
India,2007,221,221
Indonesia,2007,26,26
Iraq,2007,2,2
Ireland,2007,672,
Italy,2007,1701,
Japan,2007,1,
Jordan,2007,49,49
Kazakhstan,2007,1,
Kenya,2007,192420,192420
Kuwait,2007,,
Latvia,2007,7,
Lebanon,2007,23,23
Liberia,2007,1,
Libya,2007,513,513
Lithuania,2007,22,
Malawi,2007,20,20
Malaysia,2007,93,93
Malta,2007,979,
Mexico,2007,2,
Mozambique,2007,15,
Nepal,2007,56,56
Netherlands,2007,7919,
New Zealand,2007,60,
Nicaragua,2007,3,1
Niger,2007,11,11
Nigeria,2007,25,25
Norway,2007,7269,
Pakistan,2007,354,354
Panama,2007,1,1
Peru,2007,2,1
Philippines,2007,5,
Poland,2007,64,
Rep. of Korea,2007,2,2
Rep. of Moldova,2007,1,1
Romania,2007,120,6
Rwanda,2007,6,6
Saudi Arabia,2007,13,13
Senegal,2007,3,3
Slovakia,2007,11,11
Slovenia,2007,1,1
South Africa,2007,8554,1041
Spain,2007,127,
Sudan,2007,559,248
Swaziland,2007,69,60
Sweden,2007,5332,
Switzerland,2007,3206,
Syrian Arab Rep.,2007,2080,2080
Thailand,2007,17,17
Togo,2007,3,3
Turkey,2007,668,668
Uganda,2007,4573,4573
Ukraine,2007,21,7
United Arab Emirates,2007,14,14
United Kingdom,2007,33659,
United Rep. of Tanzania,2007,2059,2059
United States,2007,12224,
Uruguay,2007,3,1
Yemen,2007,110616,110616
Zambia,2007,1725,23
Zimbabwe,2007,16,6
Algeria,2006,4,3
Angola,2006,10,
Australia,2006,797,
Austria,2006,266,
Bangladesh,2006,13,
Belgium,2006,111,
Benin,2006,1,1
Botswana,2006,547,
Brazil,2006,28,19
Bulgaria,2006,119,
Burundi,2006,1,1
Cambodia,2006,9,9
Canada,2006,4507,
Chile,2006,1,1
China,2006,9,9
Cyprus,2006,2,
Czechia,2006,8,8
Denmark,2006,5100,
Djibouti,2006,8642,6414
Ecuador,2006,6,6
Egypt,2006,4317,4317
Eritrea,2006,3792,3792
Ethiopia,2006,16576,16576
Finland,2006,1042,
France,2006,612,
Gabon,2006,1,1
Gambia,2006,8,8
Germany,2006,2165,
Ghana,2006,1,1
Greece,2006,17,
"Hong Kong SAR, China",2006,30,30
Hungary,2006,181,
India,2006,130,130
